flight_number,airline_name,departure_airport,departure_city,departure_country,departure_time,arrival_airport,arrival_city,arrival_country,duration_hours,passenger_count,flight_status,distance_traveled_km,meal_service,in-flight_entertainment,wifi_available,airport_name,airport_city,airport_region,airport_country,arrival_time,airline_code,departure_date,arrival_date
NZ4078,Air New Zealand,Auckland Airport,Hässleholm,Sweden,12:42 PM,Sydney Airport,Made,Indonesia,1,142,delayed,1330,vegetarian,false,true,Santa Bárbara de Barinas Airport,Santa Bárbara,VE-E,VE,1:07 AM,NZ,4/24/2026,4/24/2026
SK6738,SAS Scandinavian,Copenhagen Airport,Artsvaberd,Armenia,3:41 PM,Charles de Gaulle,Chenārān,Iran,4,257,cancelled,5804,regular,true,true,Daniel Field,Augusta,US-GA,US,2:54 AM,SK,8/12/2026,8/12/2026
ET3850,Ethiopian Airlines,Bole International,Logroño,Spain,1:22 PM,Hamad International,Bungkulan,Indonesia,6,210,delayed,8993,vegetarian,true,false,Whitsunday Island Airport,,AU-QLD,AU,5:45 PM,ET,2/15/2026,2/15/2026
LH5700,Lufthansa,Frankfurt Airport,Cipicung,Indonesia,7:54 AM,Charles de Gaulle,Tasovčići,Bosnia and Herzegovina,10,278,cancelled,7130,gluten-free,false,false,Oradea International Airport,Oradea,RO-BH,RO,12:34 PM,LH,6/17/2026,6/17/2026
NH9718,All Nippon Airways,Haneda,Muritiba,Brazil,10:54 AM,Incheon International,Pak Phayun,Thailand,3,356,cancelled,8800,vegetarian,false,false,Hughenden Airport,,AU-QLD,AU,8:01 PM,NH,9/26/2026,9/26/2026
CX1675,Cathay Pacific,Hong Kong International,Al Maşlūb,Yemen,4:45 AM,Incheon International,Abomey-Calavi,Benin,9,279,cancelled,3800,gluten-free,true,true,Beica Airport,Beica,ET-BE,ET,1:07 AM,CX,6/7/2026,6/7/2026
AC9935,Air Canada,Toronto Pearson,Central,Hong Kong,2:35 PM,Vancouver International,Krajanbaturno,Indonesia,1,58,on-time,8918,vegetarian,false,false,Woitape Airport,Fatima Mission,PG-CPM,PG,12:47 PM,AC,7/7/2026,7/7/2026
KE6728,Korean Air,Incheon International,Flores da Cunha,Brazil,11:14 AM,Bole International,Shendang,China,2,114,delayed,1713,regular,false,true,Antonio Roldan Betancourt Airport,Carepa,CO-ANT,CO,6:42 AM,KE,3/31/2026,3/31/2026
QF5903,Qantas,Sydney Airport,San Vicente Centenario,Honduras,10:36 PM,Changi,Wangying,China,11,346,on-time,8857,gluten-free,false,true,Middleton Island Airport,Middleton Island,US-AK,US,12:25 AM,QF,10/21/2026,10/21/2026
SA4548,South African Airways,O.R. Tambo International,Moutsamoudou,Comoros,9:56 AM,Charles de Gaulle,Chumphon Buri,Thailand,2,198,delayed,9767,gluten-free,false,false,Isla Mujeres Airport,,MX-ROO,MX,8:06 AM,SA,3/27/2026,3/27/2026
DL7717,Delta Air Lines,John F. Kennedy International,Keetmanshoop,Namibia,1:53 PM,Hartsfield-Jackson Atlanta,Kępie Żaleszańskie,Poland,9,239,delayed,5551,vegan,false,true,Hato International Airport,Willemstad,CW-U-A,CW,5:48 AM,DL,3/13/2026,3/13/2026
NH9577,All Nippon Airways,Haneda,Mojogajeh,Indonesia,12:25 AM,Incheon International,Tseel,Mongolia,1,79,cancelled,4583,vegan,true,false,Culion Airport,Culion Island,PH-PLW,PH,11:37 PM,NH,7/11/2026,7/11/2026
AZ9023,Alitalia,Leonardo da Vinci International,Baie-D'Urfé,Canada,6:57 PM,Charles de Gaulle,Dunkerque,France,1,57,cancelled,4080,regular,true,true,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,US-CA,US,7:12 PM,AZ,11/26/2026,11/26/2026
WN7481,Southwest Airlines,Los Angeles International,Vangaži,Latvia,4:09 AM,Seattle-Tacoma International,Sainte-Adèle,Canada,11,318,delayed,7756,vegan,true,true,Sucua Airport,Sucua,EC-S,EC,2:44 PM,WN,6/12/2026,6/12/2026
AA4087,American Airlines,John F. Kennedy International,Wadeng,Indonesia,7:46 AM,Miami International,Coaldale,Canada,1,425,cancelled,7999,gluten-free,false,false,Normanton Airport,Normanton,AU-QLD,AU,12:53 AM,AA,3/5/2026,3/5/2026
TG1883,Thai Airways,Suvarnabhumi,Kokshetau,Kazakhstan,8:21 AM,Changi,Cemara,Indonesia,6,439,delayed,7028,gluten-free,true,false,Bakel Airport,Bakel,SN-TC,SN,3:42 AM,TG,8/19/2026,8/19/2026
EK6270,Emirates,Dubai International,Eindhoven,Netherlands,12:03 PM,Leonardo da Vinci International,Peruc,Czech Republic,8,127,delayed,1991,gluten-free,true,true,Hagfors Airport,,SE-S,SE,7:46 AM,EK,5/13/2026,5/13/2026
AI2223,Air India,Indira Gandhi International,Fūman,Iran,3:45 AM,Chhatrapati Shivaji International,Rychtal,Poland,4,368,on-time,3152,gluten-free,false,false,Uyuni Airport,Quijarro,BO-P,BO,6:27 PM,AI,3/16/2026,3/16/2026
LA4064,LATAM Airlines,São Paulo/Guarulhos International,Dearborn,United States,7:54 AM,Ministro Pistarini International,Quintas,Portugal,8,157,on-time,911,vegan,true,false,Gamboola Airport,,AU-QLD,AU,2:27 AM,LA,11/3/2026,11/3/2026
AM7303,Aeroméxico,Benito Juárez International,Magay,Philippines,7:33 AM,O'Hare International,Dabou,Ivory Coast,7,473,on-time,7644,gluten-free,false,false,Hua Hin Airport,Hua Hin,TH-76,TH,10:44 AM,AM,10/30/2026,10/30/2026
BA2034,British Airways,Heathrow,Khenifra,Morocco,3:20 AM,Copenhagen Airport,Valle de La Pascua,Venezuela,6,336,cancelled,7951,gluten-free,false,true,Lagunillas Airport,Lagunillas,VE-V,VE,12:17 PM,BA,4/9/2026,4/9/2026
SQ4965,Singapore Airlines,Changi,Ronda,Philippines,11:54 AM,Beijing Capital International,Sangmélima,Cameroon,11,367,cancelled,1139,gluten-free,true,true,Whiteman Air Force Base,Knob Noster,US-MO,US,3:48 AM,SQ,10/10/2026,10/10/2026
SA7036,South African Airways,O.R. Tambo International,Waepau,Indonesia,1:55 PM,Charles de Gaulle,Shuangxiqiao,China,6,485,delayed,6177,regular,true,true,Manaung Airport,Manaung,MM-16,MM,7:00 PM,SA,3/3/2026,3/3/2026
AV2822,Avianca,El Dorado International,Brvenica,Macedonia,9:54 PM,O'Hare International,Ādam,Oman,8,84,cancelled,2975,vegetarian,false,true,Machado Airport,Machado,BR-MG,BR,9:18 AM,AV,1/22/2026,1/22/2026
SQ8281,Singapore Airlines,Changi,Kamyshevatskaya,Russia,6:17 AM,Amsterdam Airport Schiphol,Datang,China,5,93,on-time,6119,regular,true,false,Lake Macquarie Airport,,AU-NSW,AU,6:29 AM,SQ,12/6/2026,12/6/2026
DL1278,Delta Air Lines,John F. Kennedy International,Goiânia,Brazil,6:13 PM,Hartsfield-Jackson Atlanta,Songshan,China,10,294,cancelled,4240,vegetarian,true,true,Kilimanjaro International Airport,Arusha,TZ-26,TZ,6:39 AM,DL,7/4/2026,7/4/2026
SA2079,South African Airways,O.R. Tambo International,Sepatan,Indonesia,7:50 PM,Charles de Gaulle,Hayange,France,6,333,delayed,7735,vegetarian,true,true,Jining Qufu Airport,Jining,CN-37,CN,6:04 PM,SA,12/10/2026,12/10/2026
AC9050,Air Canada,Toronto Pearson,Bengubelan,Indonesia,1:20 AM,John F. Kennedy International,Międzybrodzie Bialskie,Poland,5,483,cancelled,831,regular,true,true,Mataveri Airport,Isla De Pascua,CL-VS,CL,11:09 PM,AC,4/1/2026,4/1/2026
ET8511,Ethiopian Airlines,Bole International,Pinheiral,Brazil,11:22 PM,Hamad International,Barra Velha,Brazil,7,474,delayed,2166,regular,false,true,North Battleford Airport,North Battleford,CA-SK,CA,6:23 PM,ET,10/1/2026,10/1/2026
SQ4591,Singapore Airlines,Changi,Planovskoye,Russia,10:06 PM,Bole International,Saripin,Indonesia,4,124,on-time,5083,vegan,true,false,Aiambak Airport,Aiambak,PG-WPD,PG,4:07 AM,SQ,1/9/2027,1/9/2027
AA7813,American Airlines,John F. Kennedy International,Sarykemer,Kazakhstan,3:50 PM,Hartsfield-Jackson Atlanta,Vřesina,Czech Republic,4,75,on-time,7825,gluten-free,true,true,Mossel Bay Airport,Mossel Bay,ZA-WC,ZA,4:14 PM,AA,1/29/2026,1/29/2026
LA5961,LATAM Airlines,São Paulo/Guarulhos International,Vargön,Sweden,9:24 PM,Ministro Pistarini International,Morro do Chapéu,Brazil,2,64,delayed,3143,vegan,true,true,Norden-Norddeich Airport,Norddeich,DE-NI,DE,7:59 PM,LA,7/31/2026,7/31/2026
LA5082,LATAM Airlines,São Paulo/Guarulhos International,Três Rios,Brazil,6:52 PM,Ministro Pistarini International,Jiamaying,China,9,320,on-time,856,vegetarian,false,true,Mansfield Lahm Regional Airport,Mansfield,US-OH,US,2:49 AM,LA,10/4/2026,10/4/2026
TG5220,Thai Airways,Suvarnabhumi,Vila Velha,Brazil,8:03 AM,Changi,Grybów,Poland,7,456,on-time,8387,vegan,false,true,Fazenda Cataco Airport,Ubarana,BR-SP,BR,12:44 AM,TG,6/5/2026,6/5/2026
LA7443,LATAM Airlines,São Paulo/Guarulhos International,Banaybanay,Philippines,12:39 PM,Los Angeles International,Saint Petersburg,United States,1,495,delayed,4093,gluten-free,false,true,Bildudalur Airport,Bildudalur,IS-4,IS,11:26 AM,LA,3/30/2026,3/30/2026
BA6368,British Airways,Heathrow,Flagstaff,South Africa,11:19 PM,Charles de Gaulle,Pengwan,China,9,386,cancelled,3115,gluten-free,true,false,Stinson Municipal Airport,San Antonio,US-TX,US,4:05 PM,BA,8/26/2026,8/26/2026
WN4714,Southwest Airlines,Los Angeles International,Sakété,Benin,4:33 PM,San Francisco International,Croix,France,8,408,cancelled,8668,vegetarian,false,false,Mukah Airport,Mukah,MY-13,MY,6:13 AM,WN,9/22/2026,9/22/2026
SQ8339,Singapore Airlines,Changi,Dengzhou,China,3:52 AM,Beijing Capital International,Chazón,Argentina,11,422,cancelled,5621,gluten-free,true,false,Shimla Airport,,IN-HP,IN,1:14 AM,SQ,5/2/2026,5/2/2026
IB4805,Iberia,Adolfo Suárez Madrid–Barajas,Dado,Philippines,7:45 PM,Cairo International,Del Pilar,Philippines,2,166,on-time,8090,regular,false,true,Phoenix Goodyear Airport,Goodyear,US-AZ,US,4:30 PM,IB,4/22/2026,4/22/2026
AA1003,American Airlines,John F. Kennedy International,Sūrak,Iran,5:51 PM,Hartsfield-Jackson Atlanta,Baru,Indonesia,1,40,on-time,8977,vegan,false,true,Fort Yukon Airport,Fort Yukon,US-AK,US,10:40 AM,AA,7/17/2026,7/17/2026
NZ8553,Air New Zealand,Auckland Airport,Shagonar,Russia,3:57 PM,Sydney Airport,Xietang,China,8,126,on-time,7642,regular,true,true,Fderik Airport,Fderik,MR-11,MR,5:37 AM,NZ,12/29/2026,12/29/2026
SK8133,SAS Scandinavian,Copenhagen Airport,Odessa,United States,8:11 AM,Charles de Gaulle,Shakhty,Russia,10,499,cancelled,6674,vegetarian,true,true,Mélio Viana Airport,Três Corações,BR-MG,BR,9:50 PM,SK,12/17/2026,12/17/2026
BA3826,British Airways,Heathrow,Tongda,China,4:01 AM,Charles de Gaulle,Svilajnac,Serbia,6,253,delayed,6852,regular,true,true,Saint-Brieuc-Armor Airport,Saint-Brieuc/Armor,FR-E,FR,10:07 AM,BA,5/15/2026,5/15/2026
KL6392,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Wudan,China,11:27 AM,Charles de Gaulle,Ramat Gan,Israel,6,257,cancelled,3638,vegan,true,true,Poplarville Pearl River County Airport,Poplarville,US-MS,US,8:02 AM,KL,5/1/2026,5/1/2026
AM4292,Aeroméxico,Benito Juárez International,Panamá,Panama,3:59 PM,O'Hare International,Canto,Portugal,3,107,cancelled,1012,vegan,true,false,Heritage Field,Pottstown,US-PA,US,5:24 PM,AM,8/8/2026,8/8/2026
AZ9379,Alitalia,Leonardo da Vinci International,Yashao,China,8:26 PM,Charles de Gaulle,Fujioka,Japan,1,252,delayed,6056,gluten-free,false,true,Tindal Airport,,AU-NT,AU,2:35 AM,AZ,3/6/2026,3/6/2026
NZ4078,Air New Zealand,Auckland Airport,Hājīganj,Bangladesh,3:26 AM,Sydney Airport,Le Port,Reunion,2,331,delayed,5926,vegan,true,true,Cape Newenham LRRS Airport,Cape Newenham,US-AK,US,12:59 AM,NZ,3/16/2026,3/16/2026
DL2579,Delta Air Lines,John F. Kennedy International,Mundolsheim,France,1:37 PM,San Francisco International,Jamao al Norte,Dominican Republic,10,451,delayed,7984,regular,true,false,Malevo Airport,Haskovo,BG-26,BG,8:57 PM,DL,6/21/2026,6/21/2026
TG2245,Thai Airways,Suvarnabhumi,Luna,Philippines,8:05 PM,Jomo Kenyatta International,Vrangel’,Russia,5,123,on-time,8933,regular,false,false,Niquelândia Airport,Niquelândia,BR-GO,BR,1:09 PM,TG,7/24/2026,7/24/2026
LH1740,Lufthansa,Frankfurt Airport,Melbourne,United States,5:18 AM,Charles de Gaulle,Paris 19,France,2,238,delayed,210,vegan,false,false,Botucatu - Tancredo de Almeida Neves Airport,Botucatu,BR-SP,BR,9:50 AM,LH,12/25/2026,12/25/2026
TG7072,Thai Airways,Suvarnabhumi,Dong Liang’erzhuang,China,9:23 AM,Hong Kong International,Lela,Indonesia,1,299,cancelled,2875,vegan,false,false,Hawke's Bay Airport,Napier,NZ-HKB,NZ,1:22 PM,TG,6/20/2026,6/20/2026
SA6127,South African Airways,O.R. Tambo International,Rudy,Poland,7:28 PM,Charles de Gaulle,Cololaca,Honduras,3,383,cancelled,6495,vegetarian,false,false,Nullagine Airport,,AU-WA,AU,1:47 AM,SA,8/5/2026,8/5/2026
IB2507,Iberia,Adolfo Suárez Madrid–Barajas,Lugouqiao,China,9:25 AM,Charles de Gaulle,Dok Kham Tai,Thailand,6,23,on-time,1853,regular,false,true,Khabarovsk-Novy Airport,Khabarovsk,RU-KHA,RU,12:32 AM,IB,11/15/2026,11/15/2026
QR8923,Qatar Airways,Hamad International,Caocun,China,4:53 PM,Bole International,Kaset Sombun,Thailand,1,332,delayed,4933,vegetarian,false,false,Lawrence Municipal Airport,Lawrence,US-KS,US,4:43 AM,QR,2/28/2026,2/28/2026
AM1013,Aeroméxico,Benito Juárez International,Rennes,France,11:35 PM,Denver International,Daijiaba,China,3,446,on-time,8481,regular,true,false,Orán Airport,Orán,AR-A,AR,1:03 AM,AM,10/26/2026,10/26/2026
UA2285,United Airlines,Los Angeles International,Catumbela,Angola,3:49 AM,San Francisco International,Wysokie Mazowieckie,Poland,11,268,delayed,4064,gluten-free,false,true,Thargomindah Airport,,AU-QLD,AU,4:08 AM,UA,11/4/2026,11/4/2026
AV1894,Avianca,El Dorado International,Chon Buri,Thailand,6:06 PM,O'Hare International,Njurunda,Sweden,3,315,cancelled,8288,vegetarian,false,true,Kitakyūshū Airport,Kitakyūshū,JP-40,JP,4:05 PM,AV,6/30/2026,6/30/2026
AF4678,Air France,Charles de Gaulle,Dimbokro,Ivory Coast,11:02 PM,O.R. Tambo International,Bosilovo,Macedonia,6,309,cancelled,8019,vegan,false,false,Cowley Airport,Cowley,CA-AB,CA,12:03 PM,AF,8/24/2026,8/24/2026
EK9900,Emirates,Dubai International,Baini,China,2:50 AM,Hamad International,Gryaznovskoye,Russia,8,165,delayed,4835,vegetarian,false,false,Andizhan Airport,Andizhan,UZ-AN,UZ,3:27 PM,EK,12/28/2026,12/28/2026
ET2639,Ethiopian Airlines,Bole International,Raofeng,China,11:34 AM,Hamad International,Pemzashen,Armenia,1,84,delayed,4455,gluten-free,false,false,Francisco Primo de Verdad y Ramos Airport,Lagos de Moreno,MX-JAL,MX,11:50 PM,ET,11/9/2026,11/9/2026
LH3993,Lufthansa,Frankfurt Airport,Föglö,Aland Islands,5:23 AM,Charles de Gaulle,Nungga,Indonesia,8,457,delayed,8133,gluten-free,false,false,Twente Airport,Enschede,NL-OV,NL,2:18 PM,LH,3/9/2026,3/9/2026
QF4055,Qantas,Sydney Airport,Rawson,Argentina,6:28 AM,Haneda,Huangcun,China,6,444,delayed,2333,vegan,true,false,Vijayanagar Aerodrome (JSW),,IN-KA,IN,6:35 AM,QF,11/26/2026,11/26/2026
UA3806,United Airlines,Los Angeles International,Shitang,China,5:01 PM,Seattle-Tacoma International,Bihać,Bosnia and Herzegovina,4,371,delayed,8413,gluten-free,false,false,El Palomar Airport,El Palomar,AR-B,AR,12:03 AM,UA,4/22/2026,4/22/2026
ET9810,Ethiopian Airlines,Bole International,Jönköping,Sweden,10:38 AM,Hamad International,Nowlamary,Bangladesh,5,178,delayed,1888,vegetarian,false,false,Bonnechere Airport,Killaloe,CA-ON,CA,10:47 PM,ET,10/8/2026,10/8/2026
WN1086,Southwest Airlines,Los Angeles International,Krajanbonjor,Indonesia,6:51 AM,San Francisco International,Depapre,Indonesia,5,42,delayed,1980,vegan,true,true,German Olano Air Base,La Dorada,CO-CUN,CO,2:47 PM,WN,1/30/2026,1/30/2026
AA8666,American Airlines,John F. Kennedy International,Osa,Russia,11:01 AM,Hartsfield-Jackson Atlanta,Ta`ū,American Samoa,8,76,cancelled,2376,regular,true,true,Kasompe Airport,Chingola,ZM-08,ZM,5:56 AM,AA,12/13/2026,12/13/2026
NZ8106,Air New Zealand,Auckland Airport,San Juan Pueblo,Honduras,4:30 PM,Sydney Airport,Banjar Pekandelan,Indonesia,9,344,cancelled,9810,vegetarian,true,false,Delta Junction Airport,Delta Junction,US-AK,US,8:18 AM,NZ,5/5/2026,5/5/2026
SK6204,SAS Scandinavian,Copenhagen Airport,Passos,Portugal,11:29 PM,Vienna International,Kulautuva,Lithuania,10,299,cancelled,5964,vegetarian,false,false,Canouan Airport,Canouan,VC-06,VC,3:17 PM,SK,10/12/2026,10/12/2026
KL3239,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Reims,France,5:01 PM,Charles de Gaulle,Postoloprty,Czech Republic,3,65,delayed,1915,vegan,true,true,Little Grand Rapids Airport,Little Grand Rapids,CA-MB,CA,12:07 AM,KL,1/21/2026,1/21/2026
ET6237,Ethiopian Airlines,Bole International,Zhuanqiang,China,1:31 AM,Frankfurt Airport,Falefa,Samoa,3,10,cancelled,7211,gluten-free,true,true,Cottbus-Drewitz Airport,Cottbus,DE-BR,DE,2:51 AM,ET,5/14/2026,5/14/2026
QR2866,Qatar Airways,Hamad International,Wuquan,China,5:27 PM,Bole International,Monze,Zambia,4,494,on-time,9826,vegetarian,true,false,Ain Arnat Airport,Sétif,DZ-19,DZ,11:18 PM,QR,8/29/2026,8/29/2026
LH4171,Lufthansa,Frankfurt Airport,Xilin Hot,China,8:14 AM,Adolfo Suárez Madrid–Barajas,Surubim,Brazil,4,336,on-time,4405,vegan,false,false,Grissom Air Reserve Base,Peru,US-IN,US,8:36 PM,LH,5/25/2026,5/25/2026
QR9968,Qatar Airways,Hamad International,Xiaogang,China,4:37 PM,Bole International,Boavista,Portugal,1,287,delayed,6666,vegetarian,true,false,Lea County Regional Airport,Hobbs,US-NM,US,11:56 AM,QR,11/28/2026,11/28/2026
SK7218,SAS Scandinavian,Copenhagen Airport,Cholet,France,10:28 AM,Ministro Pistarini International,Zhiletovo,Russia,3,350,cancelled,9197,vegan,true,false,Cascavel Airport,Cascavel,BR-PR,BR,4:49 PM,SK,12/6/2026,12/6/2026
ET9810,Ethiopian Airlines,Bole International,Huangshi,China,3:08 PM,Hamad International,Mucumpiz,Venezuela,4,490,delayed,820,vegetarian,false,true,Southern Illinois Airport,Carbondale/Murphysboro,US-IL,US,6:24 AM,ET,1/19/2026,1/19/2026
SA6582,South African Airways,O.R. Tambo International,Losari,Indonesia,10:28 AM,Charles de Gaulle,Starcevica,Bosnia and Herzegovina,1,458,delayed,6707,regular,false,true,Galway Airport,Galway,IE-G,IE,10:39 AM,SA,10/18/2026,10/18/2026
NH3774,All Nippon Airways,Haneda,Iquique,Chile,12:32 PM,Changi,Jiuzhai,China,3,405,cancelled,6329,vegan,false,false,Ndalatandos Airport,Ndalatandos,AO-CNO,AO,6:58 AM,NH,6/21/2026,6/21/2026
QF2246,Qantas,Sydney Airport,Gospić,Croatia,2:51 AM,Chhatrapati Shivaji International,Beizhakou,China,6,55,on-time,9633,vegetarian,false,false,Antsalova Airport,Antsalova,MG-M,MG,1:15 AM,QF,3/20/2026,3/20/2026
LA1017,LATAM Airlines,São Paulo/Guarulhos International,Sanpai,China,6:19 PM,Ministro Pistarini International,Hepingjie,China,10,211,cancelled,5564,vegetarian,false,false,Saravane Airport,Saravane,LA-SL,LA,1:10 AM,LA,10/22/2026,10/22/2026
LA4035,LATAM Airlines,São Paulo/Guarulhos International,Rio Largo,Brazil,10:40 AM,Hamad International,Borisovka,Russia,11,132,delayed,662,regular,true,false,Iligan Airport,,PH-LAN,PH,5:37 AM,LA,1/8/2027,1/8/2027
ET4833,Ethiopian Airlines,Bole International,Gaspra,Ukraine,3:54 PM,Hamad International,Noupoort,South Africa,6,277,delayed,4588,vegan,true,false,Frank Wiley Field,Miles City,US-MT,US,4:54 AM,ET,2/8/2026,2/8/2026
AM6577,Aeroméxico,Benito Juárez International,Toledo,United States,6:26 PM,O'Hare International,Sohag,Egypt,2,252,on-time,7598,vegan,false,false,Furnace Creek Airport,Death Valley National Park,US-CA,US,11:58 PM,AM,7/7/2026,7/7/2026
SA9162,South African Airways,O.R. Tambo International,Pavlovka,Russia,4:17 AM,Charles de Gaulle,Buenavista,Colombia,2,301,cancelled,664,gluten-free,false,false,Bangor International Airport,Bangor,US-ME,US,4:08 PM,SA,3/28/2026,3/28/2026
QR2424,Qatar Airways,Hamad International,Bairro,Portugal,6:31 AM,Bole International,Aurora,Philippines,1,478,on-time,2963,vegetarian,false,false,Oakland County International Airport,Pontiac,US-MI,US,7:14 AM,QR,4/12/2026,4/12/2026
UA8589,United Airlines,Los Angeles International,Greenland,Barbados,4:31 AM,Adolfo Suárez Madrid–Barajas,Fenlu,China,3,160,on-time,9410,vegan,true,true,North Ronaldsay Airport,North Ronaldsay,GB-SCT,GB,1:48 PM,UA,7/31/2026,7/31/2026
LA5649,LATAM Airlines,São Paulo/Guarulhos International,Shipunovo,Russia,9:41 PM,Ministro Pistarini International,Yanjiang,China,2,358,cancelled,4635,vegan,true,true,Barrow Island Airport,,AU-WA,AU,3:55 PM,LA,6/1/2026,6/1/2026
AA6821,American Airlines,John F. Kennedy International,Phak Hai,Thailand,7:34 AM,Hartsfield-Jackson Atlanta,Ríohacha,Colombia,10,291,delayed,7453,vegan,false,false,Eppley Airfield,Omaha,US-NE,US,3:12 AM,AA,10/10/2026,10/10/2026
AV8325,Avianca,El Dorado International,Ardirejo,Indonesia,8:01 AM,Benito Juárez International,Novo-Peredelkino,Russia,6,238,on-time,2884,vegan,true,true,Duncan Town Airport,,BS-RI,BS,3:00 AM,AV,4/26/2026,4/26/2026
SQ9316,Singapore Airlines,Changi,Żarki,Poland,1:06 AM,Beijing Capital International,Tejen,Turkmenistan,1,19,delayed,6714,vegan,true,true,Levuka Airfield,Bureta,FJ-E,FJ,2:50 PM,SQ,2/26/2026,2/26/2026
AI4902,Air India,Indira Gandhi International,Paico,Peru,1:50 AM,Chhatrapati Shivaji International,Candating,Philippines,1,286,on-time,6538,vegetarian,true,true,Liupanshui Yuezhao Airport,Liupanshui,CN-52,CN,9:17 PM,AI,10/7/2026,10/7/2026
BA2476,British Airways,Heathrow,Wukang,China,5:28 PM,Adolfo Suárez Madrid–Barajas,Wielka Nieszawka,Poland,9,264,on-time,1441,regular,false,false,Big Lake Airport,Big Lake,US-AK,US,1:01 AM,BA,9/23/2026,9/23/2026
SQ7992,Singapore Airlines,Changi,Eloy Alfaro,Ecuador,7:32 AM,Brisbane Airport,Wawa,Nigeria,3,135,delayed,6854,vegetarian,false,false,Greater Portsmouth Regional Airport,Portsmouth,US-OH,US,6:30 PM,SQ,12/9/2026,12/9/2026
